Version,0.036,,,,,,,,,,,,,Lavar,,,,,,,,,,
Member Label,Member Description,P_Familj,Group Name,Variable Name,Internet link,Latin,P_Storaarter,P_Ris,P_BuskarTrad,P_Barande,P_Habitat_gräsm,P_Habitat_våtm,P_Mossor,P_Lavar,P_H8230,P_H6110,P_Silikat,P_Vatten,P_Kalk,P_Dike,P_Artrikt,P_Hällmark,P_naturahabitat,P_Sand
Ag,Cladium mariscus,Halvgräs,SmaProvArt,Ag,http://www.biopix.net/search.aspx?q=Cladium%20mariscus,Cladium mariscus,Stor art,,,,,,,,,,,Vatten,Kalk,Dike,,,,
Almar,Ulmus,Almväxter,TradBuskArt,Almar,http://sv.wikipedia.org/wiki/Almsl%C3%A4ktet,Ulmus,,,Träd,,,,,,,,,,,,,,,
Alsikeklöver,Trifolium hybridum,Ärtväxter,SmaProvArt,Alsikeklover,https://sv.wikipedia.org/wiki/Alsikekl%C3%B6ver,Trifolium hybridum,,,,,,,,,,,,,,,,,,
Alvar-Kalkmossa,Tortella densa/T. inclinata,Mossor,SmaProvArt,Alvar_Kortbladig_Kalkmossa,,,,,,,,,Mossor,,,,,,Kalk,,,Hällmark,,
Alvarfibbla,Crepis tectorum ssp. pumila,Korgblommiga,SmaProvArt,Alvarfibbla,,,,,,,,,,,,,,,Kalk,,,,,
Alvarglim,Silene uniflora ssp. petraea,Nejlikväxter,SmaProvArt,Alvarglim,,,,,,,,,,,,,,,Kalk,,,Hällmark,,
Alvargrimmia,Grimmia tergestina,Mossor,SmaProvArt,Alvargrimmia,,,,,,,,,Mossor,,,KT,,,Kalk,,,Hällmark,,
Alvarmalört,Artemisia oelandica,Korgblommiga,SmaProvArt,Alvarmalort,,,,,,,,,,,,,,,Kalk,,,Hällmark,,
Andmat (Ej Kors-),Lemna minor,Kallaväxter,SmaProvArt,Andmat,https://sv.wikipedia.org/wiki/Andmat,Lemna minor,,,,,,,,,,,,Vatten,,Dike,,,,
Apel,Malus sylvestris/M.domesticus,Rosväxter,TradBuskArt,Apel,http://sv.wikipedia.org/wiki/%C3%84pple,Malus sylvestris/M.domesticus,,,Träd,Bärande,,,,,,,,,,,,,,
Ask,Fraxinus excelsior,Syrenväxter,TradBuskArt,Ask,https://sv.wikipedia.org/wiki/Ask_(tr%C3%A4d),Fraxinus excelsior,,,Träd,,,,,,,,,,,,,,,
Asp,Populus tremula,Videväxter,TradBuskArt,Asp,https://sv.wikipedia.org/wiki/Asp_(tr%C3%A4d),Populus tremula,,,Träd,,,,,,,,,,,,,,,
Avenbok,Carpinus betulus,Björkväxter,TradBuskArt,Avenbok,https://sv.wikipedia.org/wiki/Avenbok,,,,Träd,,,,,,,,,,,,,,,
Axveronika,Veronica spicata,Grobladsväxter,SmaProvArt,Axveronika,https://sv.wikipedia.org/wiki/Axveronika,Veronica spicata,,,,,Gräsmark,,,,KT,,Silikat,,Kalk,,Artrikt,Hällmark,,
Back-/Br-/Vårförg.,Myosotis ramosissima/M. discolor/M. stricta,Strävbladiga,SmaProvArt,Back_Brok_Varforgatmigej,https://sv.wikipedia.org/wiki/Backf%C3%B6rg%C3%A4tmigej,Myosotis ramosissima/M. discolor/M. stricta,,,,,,,,,,,Silikat,,,,,Hällmark,,
Back-/fältsippa,Pulsatilla vulgaris/pratensis,Ranunkelväxter,SmaProvArt,Back_Faltsippa,https://artfakta.se/artbestamning/taxon/Pulsatilla%20vulgaris%20subsp.%20vulgaris-224913,,,,,,,,,,,,,,,,,,,
Back-/sandlök,Allium oleraceum/vineale,Amaryllisväxter,SmaProvArt,Back_Sandlok,https://artfakta.se/artbestamning/taxon/Allium%20oleraceum-219744,,,,,,,,,,,,,,,,,,,
Backglim,Silene nutans,Nejlikväxter,SmaProvArt,Backglim,https://sv.wikipedia.org/wiki/Backglim,Silene nutans,,,,,Gräsmark,,,,,,Silikat,,Kalk,,,Hällmark,,
Backklöver,Trifolium montanum,Ärtväxter,SmaProvArt,Backklover,https://sv.wikipedia.org/wiki/Backkl%C3%B6ver,Trifolium montanum,,,,,Gräsmark,,,,,,,,Kalk,,,,,
Backnejlika,Dianthus deltoides,Nejlikväxter,SmaProvArt,Backnejlika,https://sv.wikipedia.org/wiki/Backnejlika,Dianthus deltoides,,,,,,,,,,,Silikat,,Kalk,,Artrikt,Hällmark,,
Backskafting,Brachypodium pinnatum,Gräs,SmaProvArt,Backskafting,https://artfakta.se/artbestamning/taxon/Brachypodium%20pinnatum-222239,,,,,,,,,,,,,,Kalk,,,,,
Backtimjan,Thymus serpyllum,Kransblommiga,SmaProvArt,Backtimjan,https://sv.wikipedia.org/wiki/Backtimjan,Thymus serpyllum,,,,,,,,,KT,,Silikat,,Kalk,,Artrikt,Hällmark,,
Backtrav,Arabidopsis thaliana,Korsblommiga,SmaProvArt,Backtrav,https://artfakta.se/artbestamning/taxon/arabidopsis-thaliana-220417,,,,,,,,,,,,,,,,,,,
Baldersbrå,Tripleurospermum inodorum,Korgblommiga,SmaProvArt,Baldersbra,https://sv.wikipedia.org/wiki/Baldersbr%C3%A5,Tripleurospermum inodorum,,,,,,,,,,,,,,,,,,
Benved,Euonymus europaeus,Benvedsväxter,TradBuskArt,Benved,https://sv.wikipedia.org/wiki/Benved,,,,Buskar,,,,,,,,,,,,,,,
Berberis,Berberis vulgaris,Berberisväxter,TradBuskArt,Berberis,https://sv.wikipedia.org/wiki/Berberis,,,,Buskar,Bärande,,,,,,,,,,,,,,
Bergglim,Silene rupestris,Nejlikväxter,SmaProvArt,Bergglim,https://sv.wikipedia.org/wiki/Bergglim,Silene rupestris,,,,,,,,,KT,,Silikat,,,,,Hällmark,,
Bergraggmossa,Racomitrium heterostichum,Mossor,SmaProvArt,Bergraggmossa,https://sv.wikipedia.org/wiki/Bergraggmossa,Racomitrium heterostichum,,,,,,,Mossor,,,,Silikat,,,,,Hällmark,,
Bergskrabba,Globularia vulgaris,Grobladsväxter,SmaProvArt,Bergskrabba,https://artfakta.se/artbestamning/taxon/Globularia%20vulgaris-221659,,,,,,,,,,,,,,Kalk,,,,,
Bergslok,Melica nutans,Gräs,SmaProvArt,Bergslok,https://artfakta.se/artbestamning/taxon/Melica%20nutans-222584,Melica nutans,,,,,,,,,,,,,,,,,,
Bergsyra,Rumex acetosella,Slideväxter,SmaProvArt,Bergsyra,https://sv.wikipedia.org/wiki/Bergsyra,Rumex acetosella,,,,,,,,,KT,,Silikat,,,,Artrikt,Hällmark,,
Bergtall,Pinus mugo,Tallväxter,TradBuskArt,Bergtall,https://sv.wikipedia.org/wiki/Bergtall,,,,Träd,,,,,,,,,,,,,,,
Björkar,Betula,Björkväxter,TradBuskArt,Bjorkar,https://sv.wikipedia.org/wiki/Bj%C3%B6rkar,Betula,,,Träd,,,,,,,,,,,,,,,
Björnbrodd,Tofieldia pusilla,Myrliljeväxter,SmaProvArt,Bjornbrodd,https://artfakta.se/artbestamning/taxon/Tofieldia%20pusilla-221931,,,,,,Gräsmark,Våtmark,,,,,,,,,,,,
Björnbär,Rubus Rubus,Rosväxter,TradBuskArt,Bjornbar,https://sv.wikipedia.org/wiki/Bj%C3%B6rnb%C3%A4r,Rubus Rubus,,,Buskar,Bärande,,,,,,,,,,,,,,
Björnvitmossa,Sphagnum lindbergii,Mossor,SmaProvArt,Bjornvitmossa,https://artfakta.se/artbestamning/taxon/sphagnum-lindbergii-2893,,,,,,,Våtmark,Mossor,,,,,,,,,,,
Blekstarr,Carex pallescens,Halvgräs,SmaProvArt,Blekstarr,https://artfakta.se/artbestamning/taxon/Carex%20pallescens-222351,,,,,,,,,,,,,,,,,,,
Blodnäva,Geranium sanguineum,Näveväxter,SmaProvArt,Blodnava,https://sv.wikipedia.org/wiki/Blodn%C3%A4va,Geranium sanguineum,,,,,Gräsmark,,,,,,Silikat,,Kalk,,,Hällmark,,
Blodrot,Potentilla erecta,Rosväxter,SmaProvArt,Blodrot,https://sv.wikipedia.org/wiki/Blodrot,Potentilla erecta,,,,,,,,,,,,,,,,,,
Blomsterlupin,Lupinus polyphyllus,Ärtväxter,SmaProvArt,Blomsterlupin,https://sv.wikipedia.org/wiki/Blomsterlupin,Lupinus polyphyllus,Stor art,,,,,,,,,,,,,,,,,
Blå-/Gullucern,Medicago sativa subsp. sativa/falcata,Ärtväxter,SmaProvArt,Bla_Gullucern,https://sv.wikipedia.org/wiki/Bl%C3%A5-/gullucern,Medicago sativa subsp. sativa/falcata,,,,,,,,,,,,,,,,,,
Blåbär,Vaccinium myrtillus,Ljungväxter,SmaProvArt,Blabar,https://sv.wikipedia.org/wiki/Bl%C3%A5b%C3%A4r,Vaccinium myrtillus,,,,,,,,,,,Silikat,,,,,Hällmark,,
Blåeld,Echium vulgare,Strävbladiga,SmaProvArt,Blaeld,https://sv.wikipedia.org/wiki/Bl%C3%A5eld,Echium vulgare,,,,,,,,,,,,,Kalk,,Artrikt,,,
Blåhallon,Rubus caesius,Rosväxter,TradBuskArt,Blahallon,https://sv.wikipedia.org/wiki/Bl%C3%A5hallon,Rubus caesius,,,Buskar,Bärande,,,,,,,,,,,,,,
Blåklint,Centaurea cyanus,Korgblommiga,SmaProvArt,Blaklint,https://sv.wikipedia.org/wiki/Bl%C3%A5klint,Centaurea cyanus,,,,,,,,,,,,,,,Artrikt,,,
Blåsippa,Hepatica nobilis,Ranunkelväxter,SmaProvArt,Blasippa,https://sv.wikipedia.org/wiki/Bl%C3%A5sippa,Hepatica nobilis,,,,,,,,,,,,,Kalk,,,,,
Blåsstarr,Carex vesicaria,Halvgräs,SmaProvArt,Blasstarr,https://sv.wikipedia.org/wiki/Bl%C3%A5sstarr,Carex vesicaria,Stor art,,,,,,,,,,,Vatten,,Dike,,,,
Blåsuga,Ajuga pyramidalis,Kransblommiga,SmaProvArt,Blasuga,https://sv.wikipedia.org/wiki/Bl%C3%A5suga,Ajuga pyramidalis,,,,,,,,,,,,,,,,,,
Blåtry,Lonicera caerulea,Kaprifolväxter,TradBuskArt,Blatry,https://sv.wikipedia.org/wiki/Bl%C3%A5try,Lonicera caerulea,,,Buskar,,,,,,,,,,,,,,,
Blåtåtel,Molinia caerulea,Gräs,SmaProvArt,Blatatel,https://sv.wikipedia.org/wiki/Bl%C3%A5t%C3%A5tel,Molinia caerulea,Stor art,,,,,,,,,,,,,,,,,
Bockrot,Pimpinella saxifraga,Flockblommiga,SmaProvArt,Bockrot,https://sv.wikipedia.org/wiki/Bockrot,Pimpinella saxifraga,,,,,,,,,,,,,,,Artrikt,,,
Bok,Fagus sylvatica,Bokväxter,TradBuskArt,Bok,https://sv.wikipedia.org/wiki/Bok,Fagus sylvatica,,,Träd,,,,,,,,,,,,,,,
Borsttistel,Cirsium heterophyllum,Korgblommiga,SmaProvArt,Borsttistel,https://sv.wikipedia.org/wiki/Borsttistel,Cirsium heterophyllum,Stor art,,,,,,,,,,,,,,,,,
Borsttåg,Juncus squarrosus,Tågväxter,SmaProvArt,Borsttag,https://sv.wikipedia.org/wiki/Borstt%C3%A5g,Juncus squarrosus,,,,,,,,,,,,,,,,,,
Brakved,Rhamnus frangula,Brakvedsväxter,TradBuskArt,Brakved,https://sv.wikipedia.org/wiki/Brakved,Rhamnus frangula,,,Buskar,Bärande,,,,,,,,,,,,,,
Brosklavar,Ramalina,Lavar,SmaProvArt,Brosklavar,https://artfakta.se/artbestamning/taxon/Ramalina-1008107,Ramalina,,,,,,,,Lavar,,,Silikat,,,,,Hällmark,,
Brudbröd,Filipendula vulgaris,Rosväxter,SmaProvArt,Brudbrod,https://sv.wikipedia.org/wiki/Brudbr%C3%B6d,Filipendula vulgaris,,,,,Gräsmark,,,,,,Silikat,,Kalk,,Artrikt,Hällmark,,
Brudsporre,Gymnadenia conopsea,Orkideer,SmaProvArt,Brudsporre,https://sv.wikipedia.org/wiki/Brudsporre,Gymnadenia conopsea,,,,,Gräsmark,Våtmark,,,,,,,Kalk,,,,,
Brun-/Nickskära,Bidens tripartita,Korgblommiga,SmaProvArt,Brunskara,https://sv.wikipedia.org/wiki/Brun-/nicksk%C3%A4ra,Bidens tripartita,,,,,,,,,,,,,,,,,,
Brunfjällig Skivlav,Romjularia lurida,Lavar,SmaProvArt,Brunfjallig_Skivlav,https://artfakta.se/artbestamning/taxon/Romjularia%20lurida-229399,,,,,,,,,Lavar,,,,,Kalk,,,Hällmark,,
Brunört,Prunella vulgaris,Kransblommiga,SmaProvArt,Brunort,https://sv.wikipedia.org/wiki/Brun%C3%B6rt,Prunella vulgaris,,,,,,,,,,,,,,,,,,
Brännässla,Urtica dioica,Nässelväxter,SmaProvArt,Brannassla,https://sv.wikipedia.org/wiki/Br%C3%A4nn%C3%A4ssla,Urtica dioica,Stor art,,,,,,,,,,,,,,,,,
Buskviol,Viola hirta,Violväxter,SmaProvArt,Buskviol,https://sv.wikipedia.org/wiki/Buskviol,Viola hirta,,,,,,,,,,,,,,,,,,
Bågsvingel,Festuca rubra ssp. oelandica,Gräs,SmaProvArt,Bagsvingel,https://artfakta.se/artbestamning/taxon/festuca-rubra-subsp-oelandica-224753,,,,,,,,,,,,,,Kalk,,,,,
Cembratall,Pinus cembra,Tallväxter,TradBuskArt,Cembratall,https://sv.wikipedia.org/wiki/Cembratall,,,,Träd,,,,,,,,,,,,,,,
Cikoria,Cichorium intybus,Korgblommiga,SmaProvArt,Cikoria,https://sv.wikipedia.org/wiki/Cikoria,Cichorium intybus,,,,,,,,,,,,,,,Artrikt,,,
Contortatall,Pinus contorta,Tallväxter,TradBuskArt,Contortatall,https://sv.wikipedia.org/wiki/Contortatall,Pinus contorta,,,Träd,,,,,,,,,,,,,,,
Cypressfläta,Hypnum cupressiforme,Mossor,SmaProvArt,Cypressflata,https://sv.wikipedia.org/wiki/Cypressfläta,Hypnum cupressiforme,,,,,,,Mossor,,,,Silikat,,Kalk,,,Hällmark,,
Daggkåpor (Alla),Alchemilla,Rosväxter,SmaProvArt,Daggkapor,https://sv.wikipedia.org/wiki/Daggk%C3%A5por,Alchemilla,,,,,,,,,,,,,,,,,,
Darrgräs,Briza media,Gräs,SmaProvArt,Darrgras,https://sv.wikipedia.org/wiki/Darrgr%C3%A4s,Briza media,,,,,Gräsmark,,,,,,Silikat,,Kalk,,Artrikt,Hällmark,,
Dikesveronika,Veronica catenata,Grobladsväxter,SmaProvArt,Dikesveronika,https://artfakta.se/artbestamning/taxon/veronica-catenata-1653,,,,,,,,,,,,,,,,,,,
Druvfläder,Sambucus racemosa,Desmeknoppsväxter,TradBuskArt,Druvflader,https://sv.wikipedia.org/wiki/Druvfl%C3%A4der,Sambucus racemosa,,,Buskar,Bärande,,,,,,,,,,,,,,
Duv-/Sparvvicker,Vicia hirsuta/V. tetrasperma,Ärtväxter,SmaProvArt,Duv_Sparvvicker,https://sv.wikipedia.org/wiki/Duv-/sparvvicker,Vicia hirsuta/V. tetrasperma,,,,,,,,,,,,,,,,,,
Dunörter (små),Epilobium,Dunörtsväxter,SmaProvArt,Dunorter_sma,https://artfakta.se/artbestamning/taxon/Epilobium-1006150,,,,,,,,,,,,,,,,,,,
Duvnäva,Geranium columbinum,Näveväxter,SmaProvArt,Duvnava,https://artfakta.se/artbestamning/taxon/Geranium%20columbinum-221471,,,,,,,,,,,,Silikat,,Kalk,,,Hällmark,,
Dvärgbjörk,Betula nana,Björkväxter,TradBuskArt,Dvargbjork,https://sv.wikipedia.org/wiki/Dv%C3%A4rgbj%C3%B6rk,,,,Buskar,,,,,,,,,,,,,,,
Dvärgkämpar,Plantago tenuiflora,Grobladsväxter,SmaProvArt,Dvargkampar,https://artfakta.se/artbestamning/taxon/Plantago%20tenuiflora-1901,,,,,,,,,,,,,,Kalk,,,,,
Dvärglummer,Selaginella selaginoides,Mosslummerväxter,SmaProvArt,Dvarglummer,https://artfakta.se/artbestamning/taxon/Selaginella%20selaginoides-223414,,,,,,Gräsmark,Våtmark,,,,,,,,,,,,
Dån (Alla),Galeopsis,Kransblommiga,SmaProvArt,Dan,https://sv.wikipedia.org/wiki/D%C3%A5nsl%C3%A4ktet,Galeopsis,,,,,,,,,,,,,,,,,,
Döda Barrträd,,Döda,TradBuskArt,Barrtrad_Doda,http://vignette1.wikia.nocookie.net/shakeitup/images/f/f2/Bye_Gravestone.jpg/revision/latest?cb=20130329160659,,,,Träd,,,,,,,,,,,,,,,
Döda Lövbuskar,,Döda,TradBuskArt,Lovbuskar_Doda,http://vignette1.wikia.nocookie.net/shakeitup/images/f/f2/Bye_Gravestone.jpg/revision/latest?cb=20130329160659,,,,Buskar,,,,,,,,,,,,,,,
Döda Lövträd,,Döda,TradBuskArt,Lovtrad_Doda,http://vignette1.wikia.nocookie.net/shakeitup/images/f/f2/Bye_Gravestone.jpg/revision/latest?cb=20130329160659,,,,Träd,,,,,,,,,,,,,,,
Ekar,Quercus,Bokväxter,TradBuskArt,Ekar,https://sv.wikipedia.org/wiki/Ekar,,,,Träd,,,,,,,,,,,,,,,
Ekbräken,Gymnocarpium dryopteris,Stenbräkenväxter,SmaProvArt,Ekbraken,https://sv.wikipedia.org/wiki/Ekbr%C3%A4ken,Gymnocarpium dryopteris,,,,,,,,,,,,,,,,,,
Ekorrbär,Maianthemum bifolium,Sparrisväxter,SmaProvArt,Ekorrbar,https://sv.wikipedia.org/wiki/Ekorrb%C3%A4r,Maianthemum bifolium,,,,,,,,,,,,,,,,,,
"En, Död",,Döda,TradBuskArt,En_Dod,http://images.fineartamerica.com/images-medium-5/twisted-juniper-tree-at-dead-horse-point-alex-cassels.jpg,,,,Buskar,,,,,,,,,,,,,,,
"En, Levande",Juniperus communis,Cypressväxter,TradBuskArt,En,https://sv.wikipedia.org/wiki/En,Juniperus communis,,,Buskar,,,,,,,,,,,,,,,
Enbjörnmossa,Polytrichum juniperinum,Mossor,SmaProvArt,Enbjornmossa,https://sv.wikipedia.org/wiki/Enbj%C3%B6rnmossa,Polytrichum juniperinum,,,,,,,Mossor,,,,Silikat,,,,,Hällmark,,
Enlav,Vulpicida juniperinus,Lavar,SmaProvArt,Enlav,https://artfakta.se/artbestamning/taxon/Vulpicida%20juniperinus-230371,,,,,,,,,Lavar,,,,,Kalk,,,Hällmark,,
Fackelblomster,Lythrum salicaria,Fackelblomsväxter,SmaProvArt,Fackelblomster,https://sv.wikipedia.org/wiki/Fackelblomster,Lythrum salicaria,,,,,,,,,,,,,,,,,,
Femfingerört,Potentilla argentea,Rosväxter,SmaProvArt,Femfingerort,https://sv.wikipedia.org/wiki/Femfinger%C3%B6rt,Potentilla argentea,,,,,,,,,KT,,Silikat,,Kalk,,Artrikt,Hällmark,,
Filtlavar Övriga,Peltigera,Lavar,SmaProvArt,Filtlavar_Ovriga,https://artfakta.se/artbestamning/taxon/Peltigera-1008043,Peltigera,,,,,,,,Lavar,,,Silikat,,,,,Hällmark,,
Fintrå. Grönalger,Cladophora ,Grönalger,SmaProvArt,Gronalger_Fintradiga,https://sv.wikipedia.org/wiki/Gr%C3%B6nalger,Cladophora ,,,,,,,,,,,,Vatten,,Dike,,,,
Fjällgröe,Poa alpina,Gräs,SmaProvArt,Fjallgroe,https://artfakta.se/artbestamning/taxon/Poa%20alpina-219709,,,,,,,,,,,,,,Kalk,,,,,
Fjällig Svavellav,Fulgensia bracteata,Lavar,SmaProvArt,Fjallig_Svavellav,https://artfakta.se/artbestamning/taxon/Gyalolechia%20bracteata-228838,Fulgensia bracteata,,,,,,,,Lavar,,KT,,,Kalk,,,Hällmark,,
Fjällskära,Saussurea alpina,Korgblommiga,SmaProvArt,Fjallskara,https://artfakta.se/artbestamning/taxon/Saussurea%20alpina-220294,,,,,,,,,,,,,,,,,,,
Fjälltimotej,Phleum alpinum,Gräs,SmaProvArt,Fjalltimotej,https://artfakta.se/artbestamning/taxon/Phleum%20alpinum-222614,,,,,,,,,,,,,,,,,,,
Flaskstarr,Carex rostrata,Halvgräs,SmaProvArt,Flaskstarr,https://sv.wikipedia.org/wiki/Flaskstarr/bl%C3%A5starr,Carex rostrata,Stor art,,,,,,,,,,,Vatten,,Dike,,,,
Flentimotej,Phleum phleoides,Gräs,SmaProvArt,Flentimotej,https://sv.wikipedia.org/wiki/Flentimotej,Phleum phleoides,,,,,Gräsmark,,,,,,,,Kalk,,,Hällmark,,
Flockfibbla,Hieracium umbellatum,Korgblommiga,SmaProvArt,Flockfibbla,https://sv.wikipedia.org/wiki/Flockfibbla,Hieracium umbellatum,,,,,,,,,,,,,,,,,,
Flyt-/Rufsvitmossa,Sphagnum cuspidatum/majus,Mossor,SmaProvArt,Flytrufsvitmossa,https://artfakta.se/artbestamning/taxon/sphagnum-cuspidatum-2886,,,,,,,Våtmark,Mossor,,,,,,,,,,,
Fläder,Sambucus nigra,Desmeknoppsväxter,TradBuskArt,Flader,https://sv.wikipedia.org/wiki/Fl%C3%A4der,Sambucus nigra,,,Buskar,Bärande,,,,,,,,,,,,,,
Fransvitmossa,Sphagnum fimbriatum,Mossor,SmaProvArt,Fransvitmossa,https://artfakta.se/artbestamning/taxon/sphagnum-fimbriatum-2870,,,,,,,Våtmark,Mossor,,,,,,,,,,,
Frossört,Scutellaria galericulata,Kransblommiga,SmaProvArt,Frossort,https://artfakta.se/artbestamning/taxon/Scutellaria%20galericulata-221819,,,,,,,,,,,,,,,,,,,
Främ. Picea,Picea,Tallväxter,TradBuskArt,Picea,https://sv.wikipedia.org/wiki/Picea,,,,Träd,,,,,,,,,,,,,,,
Fyrkantig Johannesört,Hypericum maculatum,Johannesörtsväxter,SmaProvArt,Fyrkantig_Johannesort,https://sv.wikipedia.org/wiki/Fyrkantig_johannes%C3%B6rt,Hypericum maculatum,,,,,,,,,,,Silikat,,,,,Hällmark,,
Fårsvingel,Festuca ovina,Gräs,SmaProvArt,Farsvingel,https://sv.wikipedia.org/wiki/F%C3%A5rsvingel,Festuca ovina,,,,,,,,,,,Silikat,,Kalk,,Artrikt,Hällmark,,
Fält-/Vårveronika,Veronica arvensis/V. verna,Grobladsväxter,SmaProvArt,Falt_Varveronika,http://linnaeus.nrm.se/flora/di/scrophularia/veron/veroarv.html,Veronica arvensis/V. verna,,,,,,,,,KT,,Silikat,,,,,Hällmark,,
Fältmalört,Artemisia campestris,Korgblommiga,SmaProvArt,Faltmalort,https://sv.wikipedia.org/wiki/F%C3%A4ltmal%C3%B6rt,Artemisia campestris,,,,,,,,,,,Silikat,,Kalk,,,Hällmark,,
Fältvedel,Oxytropis campestris,Ärtväxter,SmaProvArt,Faltvedel,https://artfakta.se/artbestamning/taxon/Oxytropis%20campestris-221295,,,,,,,,,,,,,,Kalk,,,,,
Fältvädd,Scabiosa columbaria,Kaprifolväxter,SmaProvArt,Faltvadd,https://artfakta.se/artbestamning/taxon/Scabiosa%20columbaria-221044,,,,,,,,,,,,,,Kalk,,,,,
Färgmåra,Asperula tinctoria,Måreväxter,SmaProvArt,Fargmara,https://artfakta.se/artbestamning/taxon/Asperula%20tinctoria-221409,,,,,,,,,,,,,,Kalk,,,Hällmark,,
Gatkamomill,Matricaria discoidea,Korgblommiga,SmaProvArt,Gatkamomill,https://sv.wikipedia.org/wiki/Gatkamomill,Matricaria discoidea,,,,,,,,,,,,,,,,,,
Gelélavar,Collema,Lavar,SmaProvArt,Gelelavar,https://artfakta.se/artbestamning/taxon/Collema-1007877,Collematacae,,,,,,,,Lavar,,,Silikat,,Kalk,,,Hällmark,,
Gentiana-övriga,Gentiana,Gentianaväxter,SmaProvArt,Gentiana_ovr,https://artfakta.se/artbestamning/taxon/gentiana-1006192,,,,,,,,,,,,,,,,,,,
Getapel,Rhamnus cathartica,Brakvedsväxter,TradBuskArt,Getapel,https://sv.wikipedia.org/wiki/Getapel,Rhamnus cathartica,,,Buskar,Bärande,,,,,,,,,,,,,,
Getrams,Polygonatum odoratum,Sparrisväxter,SmaProvArt,Getrams,https://sv.wikipedia.org/wiki/Getrams,Polygonatum odoratum,,,,,,,,,,,Silikat,,Kalk,,,Hällmark,,
Getväppling,Anthyllis vulneraria,Ärtväxter,SmaProvArt,Getvappling,https://sv.wikipedia.org/wiki/Getv%C3%A4ppling,Anthyllis vulneraria,,,,,Gräsmark,,,,,,Silikat,,Kalk,,Artrikt,Hällmark,,
Glansvide,Salix myrsinites,Videväxter,TradBuskArt,Glansvide,https://sv.wikipedia.org/wiki/Glansvide,,,,Buskar,,,,,,,,,,,,,,,
Gotlandssolvända,Fumana procumbens,Solvändeväxter,SmaProvArt,Gotlandssolvanda,https://artfakta.se/artbestamning/taxon/Fumana%20procumbens-1884,,,,,,,,,,,,,,Kalk,,,Hällmark,,
Gran,Picea abies,Tallväxter,TradBuskArt,Gran,https://sv.wikipedia.org/wiki/Gran,,,,Träd,,,,,,,,,,,,,,,
Granspira,Pedicularis sylvatica,Snyltrotsväxter,SmaProvArt,Granspira,https://sv.wikipedia.org/wiki/Granspira,Pedicularis sylvatica,,,,,,,,,,,,,,,,,,
Gren-/Brunrör,Calamagrostis phragmitoides/C. canescens,Gräs,SmaProvArt,Gren_Brunror,https://sv.wikipedia.org/wiki/Brun-/grenr%C3%B6r,Calamagrostis phragmitoides,Stor art,,,,,,,,,,,Vatten,,Dike,,,,
Grimmior Hårudd,Grimmia,Mossor,SmaProvArt,Grimmior,https://sv.wikipedia.org/wiki/Grimmior Hårudd,Grimmia,,,,,,,Mossor,,KT,,Silikat,,,,,Hällmark,,
Groblad,Plantago major,Grobladsväxter,SmaProvArt,Groblad,https://sv.wikipedia.org/wiki/Groblad,Plantago major,,,,,,,,,,,,,,,,,,
Grusbräcka,Saxifraga tridactylites,Stenbräckeväxter,SmaProvArt,Grusbracka,https://sv.wikipedia.org/wiki/Grusbr%C3%A4cka,Saxifraga tridactylites,,,,,,,,,      ,,,,Kalk,,,Hällmark,,
Gruskammossa,Abietinella abietina,Mossor,SmaProvArt,Gruskammossa,https://sv.wikipedia.org/wiki/Gruskammossa,Abietinella abietina,,,,,,,Mossor,,KT,KT,Silikat,,Kalk,,,Hällmark,,
Grusslok,Melica ciliata,Gräs,SmaProvArt,Grusslok,https://artfakta.se/artbestamning/taxon/Melica%20ciliata-222583,,,,,,,,,,,,,,Kalk,,,Hällmark,,
Grusviva,Androsace septentrionalis,Viveväxter,SmaProvArt,Grusviva,https://artfakta.se/artbestamning/taxon/Androsace%20septentrionalis-221076,,,,,,,,,,,,,,Kalk,,,Hällmark,,
Grå Raggmossa,Racomitrium lanuginosum,Mossor,SmaProvArt,Gra_Raggmossa,https://sv.wikipedia.org/wiki/Grå Raggmossa,Racomitrium lanuginosum,,,,,,,Mossor,,,,Silikat,,,,,Hällmark,,
Gråstarr,Carex canescens,Halvgräs,SmaProvArt,Grastarr,https://artfakta.se/artbestamning/taxon/Carex%20canescens-222292,,,,,,,,,,,,,,,,,,,
Grå-/Mattfibbla,Pilosella officinarum,Korgblommiga,SmaProvArt,Gramattfibbla,https://sv.wikipedia.org/wiki/Gråfibbla,Pilosella officinarum,,,,,,,,,KT,,Silikat,,Kalk,,Artrikt,Hällmark,,
Gråal,Alnus incana,Björkväxter,TradBuskArt,Graal,https://sv.wikipedia.org/wiki/Gr%C3%A5al,Alnus incana,,,Träd,,,,,,,,,,,,,,,
Gråbo,Artemisia vulgaris,Korgblommiga,SmaProvArt,Grabo,https://sv.wikipedia.org/wiki/Gr%C3%A5bo,Artemisia vulgaris,Stor art,,,,,,,,,,,,,,,,,
Gräshakmossa,Rhytidiadelphus squarrosus,Mossor,SmaProvArt,Grashakmossa,https://sv.wikipedia.org/wiki/Gr%C3%A4shakmossa,Rhytidiadelphus squarrosus,,,,,,,Mossor,,,,,,,,,,,
Gräslök/Alvargräslök,Allium schoenoprasum,Lökväxter,SmaProvArt,Graslok_Alvargraslok,,,,,,,,,,,,,,,Kalk,,,Hällmark,,
